id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,compression_ratio_pct,latency_ms,original_words,summary_words
20896894,0.09482758620689655,0.4782608695652174,0.15827338129496402,0.02608695652173913,0.13636363636363635,0.043795620437956206,0.0603448275862069,0.30434782608695654,0.10071942446043165,70.74,3.6,393,115
38004531,0.047058823529411764,0.21052631578947367,0.07692307692307691,0.0,0.0,0.0,0.03529411764705882,0.15789473684210525,0.057692307692307696,79.95,3.2,414,83
35248116,0.11475409836065574,0.3888888888888889,0.17721518987341772,0.0,0.0,0.0,0.06557377049180328,0.2222222222222222,0.10126582278481013,71.43,2.5,210,60
18275858,0.10416666666666667,0.38461538461538464,0.16393442622950818,0.010526315789473684,0.04,0.016666666666666666,0.052083333333333336,0.19230769230769232,0.08196721311475409,71.02,3.1,314,91
38971504,0.08641975308641975,0.7,0.15384615384615385,0.006211180124223602,0.05263157894736842,0.01111111111111111,0.04938271604938271,0.4,0.0879120879120879,69.09,4.0,508,157
34670343,0.12962962962962962,0.35,0.18918918918918917,0.0,0.0,0.0,0.09259259259259259,0.25,0.13513513513513514,66.67,2.2,159,53
28528045,0.06944444444444445,0.3125,0.11363636363636365,0.014084507042253521,0.06666666666666667,0.023255813953488372,0.06944444444444445,0.3125,0.11363636363636365,75.0,2.6,276,69
33327128,0.07407407407407407,0.47058823529411764,0.128,0.018691588785046728,0.125,0.03252032520325203,0.046296296296296294,0.29411764705882354,0.08,59.06,2.7,254,104
38570076,0.05357142857142857,0.14285714285714285,0.0779220779220779,0.0,0.0,0.0,0.05357142857142857,0.14285714285714285,0.0779220779220779,45.1,2.0,102,56
34286028,0.09523809523809523,0.37037037037037035,0.15151515151515152,0.0,0.0,0.0,0.05714285714285714,0.2222222222222222,0.0909090909090909,72.01,3.3,343,96
37631349,0.08333333333333333,0.2631578947368421,0.12658227848101267,0.01694915254237288,0.05555555555555555,0.025974025974025976,0.06666666666666667,0.21052631578947367,0.10126582278481013,69.54,2.3,197,60
40886859,0.11904761904761904,0.2777777777777778,0.16666666666666663,0.0,0.0,0.0,0.09523809523809523,0.2222222222222222,0.13333333333333333,79.06,3.1,191,40
32103205,0.19230769230769232,0.37037037037037035,0.25316455696202533,0.0392156862745098,0.07692307692307693,0.05194805194805195,0.1346153846153846,0.25925925925925924,0.17721518987341772,74.23,2.3,194,50
27206280,0.062146892655367235,0.7333333333333333,0.11458333333333334,0.028409090909090908,0.35714285714285715,0.052631578947368425,0.03389830508474576,0.4,0.0625,78.95,4.7,817,172
30016202,0.08904109589041095,0.5,0.1511627906976744,0.006896551724137931,0.04,0.011764705882352941,0.06164383561643835,0.34615384615384615,0.10465116279069767,54.94,3.0,324,146
40374278,0.1,0.36363636363636365,0.15686274509803924,0.012658227848101266,0.047619047619047616,0.02,0.0625,0.22727272727272727,0.0980392156862745,71.74,2.6,276,78
37025160,0.05319148936170213,0.25,0.08771929824561403,0.0,0.0,0.0,0.05319148936170213,0.25,0.08771929824561403,70.31,2.7,293,87
39426681,0.1232876712328767,0.34615384615384615,0.18181818181818182,0.013888888888888888,0.04,0.020618556701030927,0.1232876712328767,0.34615384615384615,0.18181818181818182,92.98,5.2,1040,73
32557123,0.102803738317757,0.4782608695652174,0.16923076923076924,0.009433962264150943,0.045454545454545456,0.015625,0.06542056074766354,0.30434782608695654,0.10769230769230767,72.1,3.0,362,101
35488481,0.12,0.5,0.1935483870967742,0.04054054054054054,0.17647058823529413,0.06593406593406594,0.09333333333333334,0.3888888888888889,0.15053763440860216,73.55,2.6,276,73
32997872,0.05670103092783505,0.5789473684210527,0.10328638497652583,0.010362694300518135,0.1111111111111111,0.01895734597156398,0.03608247422680412,0.3684210526315789,0.06572769953051642,44.06,2.8,345,193
35649369,0.1111111111111111,0.13793103448275862,0.12307692307692307,0.0,0.0,0.0,0.1111111111111111,0.13793103448275862,0.12307692307692307,76.32,2.2,152,36
